Date,Location,Deaths,Injuries,Description
"August 27, 2012","Perry Hall, Maryland",0,1,"15-year-old Robert Gladden, fired two shots with a shotgun inside the cafeteria at Perry Hall School. He hit a 17-year-old senior in the lower back, causing critical wounds. The youth has Down syndrome. Gladden was subdued by two school faculty members, and arrested. In February 2013, he was sentenced to thirty-five years in prison on attempted murder charges.[129]"
"September 7, 2012","Normal, Illinois",0,0,"A 14-year-old student fired multiple gunshots in a classroom ceiling at Normal Community High School, and was tackled by a teacher. Nobody was injured. The student was arrested and charged with sixteen felony counts.[130][131]"
"October 19, 2012","Chicago, Illinois",1,0,"18-year-old Banner Academy South student, Terrance Wright, was killed during an attempted robbery. Wright was approached by five would-be robbers as he left the school about 3:40 p.m.. He was shot in the chest as he fought back when one assailant was going through his pockets. Wright had been picked on at his previous high school because he was gay, which led him to transfer to Banner.[132]"
"October 31, 2012","Los Angeles, California",0,4,"At a Halloween party on the University of Southern California campus, an argument escalated and 20-year-old Brandon Spencer, used a handgun to shoot rival gang member, Geno Hall, seven times, critically wounding him. Spencer wounded three other people, none were students at USC, they were hospitalized with less serious injuries. Spencer was arrested just minutes after the shooting, which took place outside USC's Grand Ballroom at around 11:30 p.m.[133] In April 2014, he was convicted of attempted murder and sentenced to forty years to life in prison.[134]"
"December 14, 2012","Newtown, Connecticut",27[n 1],2,"Sandy Hook Elementary School shooting: 20-year-old Adam Lanza killed twenty-six people and himself. He first killed his mother at their shared home before taking four of her guns and driving to the school, where he killed 20 first-grade children aged six and seven along with six adults, including four teachers, the principal, and the school psychologist. Two other persons were injured. Lanza then killed himself as police arrived at the school.[118][135]"
"January 10, 2013","Taft, California",0,2,"16-year-old student, Bryan Oliver, entered a science classroom of Taft Union High School with a shotgun and opened fire, critically wounding 16-year-old student Bowe Cleveland. He shot at but missed another student. The classroom teacher Ryan Heber convinced Oliver, to drop his weapon. He was later arrested. On January 14, he was charged with two counts of attempted murder and assault with a firearm.[136] He was convicted and accepted a plea deal with a sentence of 27 years and 4 months.[137] According to the attorney[138] for the Cleveland family, they were not satisfied with the sentence."
"January 12, 2013","Detroit, Michigan",0,1,A 16-year-old Osborn High School student was shot and wounded after a basketball game.[136]
"January 15, 2013","St. Louis, Missouri",0,2[n 1],"A 34-year-old gunman wounded an administrator in his office on the fourth floor of Stevens Institute of Business and Arts. The suspected gunman, Sean Johnson, a part-time student, wounded himself in a stairwell. Both the administrator and Johnson were hospitalized in stable conditions. Johnson was convicted of three felony charges, including assault and was sentenced to 60 years in prison.[139][140][141]"
"January 15, 2013","Hazard, Kentucky",3,0,"Two people were killed and a third person was wounded at the parking lot of Hazard Community and Technical College.[142] The third victim, 12-year-old Taylor Cornett, died from her wounds the next day.[143] 21-year-old Dalton Lee Stidham, was arrested and charged with three counts of murder. He was sentenced to life in prison without parole in 2014.[144]"
"January 16, 2013","Chicago, Illinois",1,0,"A 17-year-old boy, Tyrone Lawson, was killed in a parking lot of Chicago State University. The shooting happened after high school basketball games held on the campus, where Lawson had been a spectator. Police arrested two brothers, Michael McNabb, 33, and Brian Hewlett (under the alias Stephen Gilbert), 30 after the shooting and recovered a weapon.[136][145][146]"
"January 22, 2013","Houston, Texas",0,3[n 1],"Lone Star College–North Harris shooting: Outside Lone Star College–North Harris, two men got into an argument. One wounded the other. He also wounded a maintenance man, and accidentally shot himself in the leg. The shooter fled into the woods and was arrested hours later. The charges against the initial suspect were dropped and another man was arrested.[147]"
"January 31, 2013","Atlanta, Georgia",0,2,"A 14-year-old male student was wounded at Price Middle School. The gunman, a 15-year-old student, was believed to be arguing with the other student before using a handgun to shoot him. A teacher was also wounded. Afterward, the gunman was disarmed by a school resource officer and arrested; police charged him with aggravated assault.[148][149]"
"March 18, 2013","Orlando, Florida",1[n 1],0,"At the University of Central Florida, 30-year-old student James Oliver Seevakumaran pulled a fire alarm at the Tower One dormitory, to attract a crowd. He pointed a handgun at his roommate and threatened to shoot him in their room; he released the roommate, who ran out and called 9-1-1. Seevakumaran then fatally shot himself in the head. Authorities found an assault weapon, a couple hundred rounds of ammunition and four homemade bombs inside his backpack.[150]"
"April 12, 2013","Christiansburg, Virginia",0,2,"New River Community College shooting incident: Two women were wounded during a shooting at the campus of New River Community College. 18-year-old Neil Allen MacInnis, was taken into custody. In June 2014, he was sentenced to 38 years in prison.[151]"
"April 16, 2013","Grambling, Louisiana",0,3,Three students were injured on the campus of Grambling State University.[152]
"April 18, 2013","Cambridge, Massachusetts",1,0,"Three days after committing the Boston Marathon bombing, while still at large, the brothers Dzhokhar Tsarnaev and Tamerlan Tsarnaev shot and killed Massachusetts Institute of Technology campus police officer Sean Collier[153] in his patrol car near MIT's Ray and Maria Stata Center.[154] About three hours after the MIT shooting and after carjacking a vehicle, Tamerlan died in a gunfight with police in Watertown, Massachusetts. Another officer was seriously wounded. Shot in the neck and hiding in a boat parked nearby, Dzhokhar was arrested 18 hours later, and hospitalized in critical condition.[154] He was sentenced to death in 2015."
"May 14, 2013","Birmingham, Alabama",0,0,"Allegedly responding to a student fight, a mother of a student fired a weapon on the campus of Ossie Ware Mitchell Middle School. No one was injured.[155]"
"June 7, 2013","Santa Monica, California",6[n 1],4,"2013 Santa Monica shooting: 23-year-old John Zawahri, began a killing spree at his home. After killing his 55-year-old father, Samir ""Sam"" Zawahri, and 25-year-old brother, Chris Zawahri, he set the house ablaze. Dressed all in black with body armor and wielding an AR-15-type semi-automatic rifle, Zawahri carjacked 41-year-old Laura Siska, shooting 50-year-old Debra Fine, as she attempted to intervene, before forcing Siska to drive to Santa Monica College. Upon arriving on the college campus, Zawahri began shooting at passing vehicles, including a police car and a city bus, leaving three people with minor injuries. Zawahri next targeted a Ford Explorer, killing the driver, 68-year-old campus groundskeeper, Carlos Navarro Franco, and fatally wounding the passenger, his 26-year-old daughter Marcela Diaz-Franco, a student at the college, who died two days later. 68-year-old Margarita Gomez, who was collecting cans outside the library, died after being shot in the abdomen and chest. Zawahri opened fire on students who were trying to run away. It ended at the college library where he opened fire on students studying for finals, before being fatally wounded in an exchange of gunfire with responding police officers.[156]"
"August 20, 2013","Decatur, Georgia",0,0,"Armed with a 7.62mm AK-47-type assault rifle and nearly 500 rounds of ammunition, 20-year-old Michael Brandon Hill entered the Ronald E. McNair Discovery Learning Academy shortly after 1:00 PM and took several employees hostage in the principal's office. Hill ordered his hostages to call local ABC News affiliate WSB-TV, declaring that he wanted a camera crew to record him killing police officers. When responding law enforcement officers arrived at the school, Hill exited the office and fired six rounds at police, who immediately returned fire; no one was injured in the exchange and Hill returned to the office with his hostages. During the resulting standoff with police, Hill claimed to have a bomb in his car and in the school and repeatedly threatened to kill himself and the hostages. During the standoff, police managed to evacuate the students and staff out the back of the school. Hill was eventually persuaded to surrender by one of the hostages, Antoinette Tuff, who shared stories with him and tried to keep him calm during the siege. After pleading guilty to numerous charges stemming from the incident, Hill was sentenced to 20 years in prison and 20 years of supervised probation in September 2014.[157][158]"
"August 22, 2013","Memphis, Tennessee",0,0,"A 5-year-old kindergarten student fired a handgun in his elementary school cafeteria. The Westside Elementary School student brought the gun to school in his backpack. While waiting for the opening bell in the cafeteria, the gun accidentally discharged one time inside the boy's backpack. There was no evidence of harmful intent and nobody was injured. To date, the boy is the youngest documented school shooter.[159]"
"August 23, 2013","Sardis, Mississippi",1,2,"15-year-old student, Roderick Bobo, was killed during a football game at North Panola High School in what was termed a gang-related shooting. Two others were injured in the shooting. Three men were charged as being responsible for the crime.[160]"
"August 30, 2013","Winston-Salem, North Carolina",0,1,"A 15-year-old male student was shot at Carver High School, at 2:30 p.m.. He was hospitalized with minor injuries.[161] An 18-year-old male student was apprehended without further incident. The suspected gunman is charged with assault with a deadly weapon inflicting serious injury, carrying a concealed gun, possessing and discharging a firearm, and carrying a firearm onto educational property. The shooting was believed related to a dispute between the suspect and the victim.[162]"
"October 4, 2013","Pine Hills, Florida",0,2,"A 16-year-old student was shot in the hip outside Agape Christian Academy after a fight broke out at 2 p.m.. An innocent bystander was hit by a stray bullet or shrapnel. The two victims were treated for minor injuries. The suspected shooter reportedly fled in a car with several other males, and was not caught.[163]"
"October 21, 2013","Sparks, Nevada",2[n 1],2,"12-year-old seventh-grade student Jose Reyes opened fire with a handgun at the basketball courts of Sparks Middle School, injuring one student in the shoulder. Michael Landsberry, a teacher and veteran, tried to intervene and was killed by Reyes. Reyes also wounded a student trying to help the teacher. Reyes then committed suicide by shooting himself in the head.[118][161] The shooting happened before classes, and the school was evacuated and was closed for the week."
"November 2, 2013","Greensboro, North Carolina",0,1,A 21-year-old student was wounded at North Carolina A&T State University. The victim was hospitalized for serious but non-life-threatening injuries. The university was temporarily locked down that night. No suspects are in custody.[164]
"November 3, 2013","Lithonia, Georgia",0,2,A Stephenson High School student and a janitor were shot in an apparent confrontation between football team members and a group of teens who were not attending the school. Both were innocent bystanders.[165]
"November 13, 2013","Pittsburgh, Pennsylvania",0,3,"After classes ended, at least one gunman came out of the woods and opened fire on three students as they were walking to their cars at Brashear High School. One student was grazed in the head, another was struck in the neck and shoulder, and a third was hit in the leg and foot. Six people were taken into custody. The shooting is believed to be drug-related.[166]"
"December 4, 2013","Winter Garden, Florida",0,1,"A 15-year-old student was wounded by a 17-year-old student near a soccer field on the campus of West Orange High School. The shooting occurred after a fight broke out between the two students. The 17-year-old suspected shooter was taken into custody several miles away from the school, and is charged with attempted murder, aggravated battery with a firearm, possession of a firearm by a minor and possession of a firearm on school grounds. In October 2014, the shooter was sentenced to twenty-five years in prison.[167]"
"December 13, 2013","Centennial, Colorado",2[n 1],0,"18-year-old Karl Pierson, shot 17-year-old student Claire Davis in the head, fatally injuring her, in a hallway in Arapahoe High School. Pierson then took his own life.[118] Pierson was armed with a shotgun, three Molotov cocktails, and a machete. His intention was to shoot the librarian who had disciplined him. Claire Davis died from her injuries on December 21, 2013.[168]"
"December 19, 2013","Fresno, California",0,1,"Four teens (16, 16, 16 and 17 years old) entered Edison High School in what was believed as a gang-initiation process. After accosting a 62-year-old woman about a mile away from school grounds, they found an athletic trainer who taught at Edison High and shot him several times in the leg and stomach.[169]"
"January 9, 2014","Jackson, Tennessee",0,1,A 16-year-old student was charged with bringing a gun to school at Liberty Technology Magnet High School and shooting a classmate in the thigh. The incident occurred outside the front of the school.[170]
"January 13, 2014","New Haven, Connecticut",0,1,"A 14-year-old boy was shot a few blocks away from the Hillhouse High School athletic facility, after a basketball game, and suffered wounds in his hand and leg.[171]"
"January 14, 2014","Roswell, New Mexico",0,3,"Two people were wounded inside the gymnasium of Berrendo Middle School, at about 8:10 a.m.. An 11-year-old boy and a 13-year-old girl were airlifted to a hospital in Lubbock, Texas in critical condition. The 12-year-old suspected shooter, Mason Campbell, a seventh grade student, was apprehended at the scene after he was talked down by a staff member and dropped the shotgun. A staff member received minor injuries. Campbell was charged with three counts of aggravated battery with a deadly weapon. He was sentenced to a maximum sentence of confinement in a juvenile detention facility until he is twenty one years old.[172]"
"January 17, 2014","Philadelphia, Pennsylvania",0,2,"A student allegedly shot two other students in the gymnasium at Delaware Valley Charter School. Both victims, a male and a female, were shot in the arm. They were taken to a nearby hospital and are in stable condition, police say. Police Commissioner Charles Ramsey said at a news conference that the shooter ran out of the school after the shooting but was taken into custody near his home. 17-year-old Raisheem Rochwell was arrested and charged as an adult for aggravated assault, recklessly endangering another person and firearms offenses. Rochwell was sentenced to two years of juvenile detention.[173]"
"January 20, 2014","Chester, Pennsylvania",0,1,One person was critically injured at Widener University. The incident occurred around 10 p.m. outside the university sport's complex and led to an 8-hour university lock-down. The suspect was not immediately found.[174]
"January 21, 2014","West Lafayette, Indiana",1,0,"A 21-year-old student, Andrew Boldt, was killed in a classroom building on the campus of Purdue University. 24-year-old student Cody Cousins was found guilty of the murder and was sentenced to sixty-five years of prison. In October 2014, Cousins committed suicide in his cell.[175]"
"January 24, 2014","Orangeburg, South Carolina",1,0,A 20-year-old student was killed at South Carolina State University. A 19-year-old was arrested and charged with murder.[176]
"January 25, 2014","Los Angeles, California",1,0,A man was killed at Los Angeles Valley College. Two suspects were arrested in the fatal shooting.[177]
"January 27, 2014","Carbondale, Illinois",0,1,A group of students at Rebound High School got in an argument in the school's parking lot. One student pulled out a gun and shot another student in the ensuing altercation. An 18-year-old suspect is facing charges of attempted murder.[178]
"January 28, 2014","Nashville, Tennessee",0,1,One student was shot in the leg in an apparent altercation over a gambling debt at Tennessee State University.[179]
"January 30, 2014","Palm Bay, Florida",0,1,Three students were fighting in a parking lot of Eastern Florida State College and one pulled out a gun and shot another of the students. All three students claimed self-defense.[180]
"January 31, 2014","Des Moines, Iowa",0,1,"After a basketball game at North High School, there was gunfire in a parking lot of the school. Six males in a black jeep had come moments before the shooting and returned at the time it happened. A 15-year-old girl was injured by a ricocheting bullet. While officers were gaining control of the area, teachers on the scene led students into the school building for safety.[181]"
"February 10, 2014","Salisbury, North Carolina",0,1,"A 16-year-old student was shot in the stomach on the campus of Salisbury High School during a dispute in the school gym. 17-year-old suspect was charged with assault with a deadly weapon with intent to kill inflicting serious injury, possession of a firearm on school property and discharging a weapon on school property.[182]"
"February 10, 2014","Lyndhurst, Ohio",0,0,"Five shots were fired in the parking lot of Charles F. Brush High School, including one which hit an unoccupied police car. No one was reported to be injured, though a school basketball game was going on at the time.[183]"
"February 12, 2014","Los Angeles, California",0,1,A male victim was shot in the back in a possible gang-related drive-by shooting near the University of Southern California. The suspect fled into the University Campus. The victim was last reported in stable condition before being transported to a local hospital.[184]
"February 22, 2014","Augusta, Georgia",0,1,"A shooting involving a campus police officer occurred at a Georgia Regents University dormitory complex. A male suspect entered a vehicle and nearly struck an officer, who opened fire. The suspect was taken to Georgia Regents Medical Center with injuries that were not believed to be critical.[185]"
"March 25, 2014","College Park, Georgia",0,0,"An argument between students led to shots being fired in a Benjamin Banneker High School parking lot during the afternoon. Investigators believe multiple people were present when shots were fired, but it was not known how many could face charges for the incident. No one was injured in the shooting.[186]"
"April 11, 2014","Detroit, Michigan",1,0,"After a Friday evening student awards ceremony called ""Grammy Night"", four men who were affiliated with a gang fired into a crowd in the parking lot of East English Village Preparatory Academy. One 19-year-old, Darryl Smith, was fatally shot in the head. Smith was not a student at the academy.[187]"
"May 4, 2014","Augusta, Georgia",0,1,"Two men fired shots inside a dormitory at Paine College on Sunday, injuring one student in the head. Neither of the suspects were students at the college.[188]"
"May 5, 2014","Augusta, Georgia",0,1,An active shooter situation was reported at Paine College on Monday with one person reported to be shot. The suspect was apparently apprehended and in custody. It was the second shooting incident to occur at the college campus in two days.[189]
"May 8, 2014","Lawrenceville, Georgia",0,1,"A person was shot on a student parking lot roof at Georgia Gwinnett College, receiving an injury. The specific cause has not been identified.[190]"
"May 14, 2014","Richmond, California",0,1,A 14-year-old student was injured during a drive-by shooting in front of John F. Kennedy High School at 8:30 a.m.. He was shot as he was running towards the school campus after a fight took place. The student suffered a serious but stable injury to his leg. Police are searching for a suspect.[191]
"June 5, 2014","Seattle, Washington",1,3,"19-year-old students, Paul Lee and Sarah Williams, and 24-year-old student, Thomas Fowler, were shot inside a hallway of Otto Miller Hall at Seattle Pacific University.[192] Freshman Lee was rushed to Harborview Medical Center but later died. The shooter was subdued with pepper spray and tackled to the ground by student building monitor, Jon Meis, as he paused to reload his shotgun. 26-year-old Aaron Rey Ybarra was arrested at the scene and has been charged with premeditated and attempted murder.[193]"
"June 10, 2014","Troutdale, Oregon",2[n 1],1,"At around 8:30 a.m. shots were fired at Reynolds High School. 14-year-old freshman Emilio Hoffman was killed, a physical education teacher was injured, and the gunman, 15-year-old Jared Padgett, exchanged gunfire with police officers and then committed suicide in a restroom stall.[118][194]"
"September 9, 2014","Miami, Florida",0,1,"Towards the end of the school day, one alternative school student in Miami was shot as a small group of students tussled. The injury was minor, requiring hospitalization, and five young adults were later questioned.[195]"
"September 11, 2014","Taylorsville, Utah",0,1,"An elementary school teacher with a concealed weapon permit had her gun fire accidentally in a faculty bathroom at Westbrook Elementary School. The bullet shattered a toilet, and fragments of both the bullet and the porcelain injured her leg.[196]"
"September 27, 2014","Terre Haute, Indiana",0,1,"A 20-year-old Indiana State University student was shot by another student on Saturday inside a residence hall. The injuries were not fatal, and a full recovery was expected. The shooter was arrested on the following day.[197]"
"September 30, 2014","Albemarle, North Carolina",0,1,"Two students got in an argument at Albemarle High School around 7:30 a.m. on Tuesday, and one of the students shot the other twice including once in the leg. The student who committed the shooting was allegedly involved in a stabbing of a football player last year at West Montgomery High School, which is only 20 miles (32 km) away in Mount Gilead, North Carolina. The school had held an active shooter training over the summer, which prepared the school for this incident.[198]"
"September 30, 2014","Louisville, Kentucky",0,1,"One student was injured at Fern Creek Traditional High School. The incident occurred around 1 p.m., reportedly after student became enraged in a hallway and pulled out a gun. The student was arrested later that day.[199]"
"October 3, 2014","Fairburn, Georgia",1,0,"After a homecoming football game, a fatal shooting of 17-year-old Kristofer Hunter, occurred in the Langston Hughes High School parking lot. The assailant, 18-year-old Eric Dana Johnson Jr., turned himself in a week later.[200]"
"October 24, 2014","Marysville, Washington",5[n 1],1,"Marysville Pilchuck High School shooting. 15-year-old freshman, Jaylen Fryberg, shot five students in the school cafeteria of Marysville Pilchuck High School, fatally wounding four, before committing suicide.[118][201]"
"November 20, 2014","Tallahassee, Florida",1[n 1],3,"At around 12:40 a.m. EST, a gunman opened fired in or near the Strozier Library at Florida State University. Three people suffered gunshot injuries and were taken to a local area hospital. One was in critical condition, another was in good condition, and the third was shortly released after treatment. The gunman, later identified as Myron May, an alumnus from the school, started firing towards responding police officers and was fatally shot by them on the steps of the library.[202]"
"November 20, 2014","Miami, Florida",1,1,Two teens were shot during a fight at Miami Carol City High School. One of the boys died.[203]
"December 12, 2014","Portland, Oregon",0,4,"Rosemary Anderson High School shooting: A gunman shot three students and a man outside Rosemary Anderson High School in north Portland. A 16-year-old girl was in critical condition, while the others suffered minor injuries. Two men, aged eighteen and twenty-two, were arrested in connection with the shooting.[204]"
"January 15, 2015","Milwaukee, Wisconsin",0,3,"A 15-year-old boy, a student's father, and a teacher were each injured in the school parking lot at Wisconsin Lutheran High School. The student had unspecified injuries that were treated. The father was shot in the knee and the teacher was grazed in the toe. A 36-year-old man was charged in the shooting.[205]"
"January 16, 2015","Ocala, Florida",0,2,"Two were injured in gunfire that occurred after a Friday night basketball game at Vanguard High School. One was injured directly by a bullet, the other by ricocheting glass.[206]"
"February 4, 2015","Frederick, Maryland",0,2,"Two students were shot near the gymnasium of Frederick High School during a junior varsity (JV) boys' basketball game. Approximately two hundred students, staff, and faculty were placed on lockdown for several hours after the shooting while police searched for the suspects. Brandon Earl Tyler, 21, and Chandler Tristan Davenport, 19 were charged with the shooting.[207][208]"
"February 14, 2015","Merced, California",1,0,16-year-old Benito Aguirre was found dead in the parking lot of Tenaya Middle School. The shooting was reported to have occurred after school hours.[209][210]
"February 23, 2015","Daytona Beach, Florida",0,3,"Two students argued outside the music building at Bethune-Cookman University when one pulled out a gun. Both had guns and it is not disclosed who did the shooting, injuring three students. A reward was offered to help solve this case.[211]"
"March 30, 2015","University City, Missouri",0,1,"Police said one person has been arrested for a shooting at Pershing Elementary School. The shooting occurred in the parking lot, with a 34-year-old-man being shot in the buttocks.[212]"
"April 13, 2015","Goldsboro, North Carolina",1,0,"A faculty member was killed with a rifle in the school library of Wayne Community College. The 20-year-old gunman, Kenneth Stancil, was arrested in Florida the next day. As of January 2017, Stancil, an admitted Neo-Nazi is being investigated for a hate crime.[213] Stancil was later sentenced to life without parole for the murder.[214]"
"April 16, 2015","Paradis, Louisiana",0,1,"A police officer was shot outside a school in a school zone while he was directing school buses into J.B. Martin Middle School, and the suspect was apprehended at the scene.[215]"
"May 12, 2015","Jacksonville, Florida",0,2,"Police report that a 16-year-old shot five bullets into a school bus and injured two students. Apparently, there was an argument that touched on previous events.[216]"
"May 24, 2015","Flint, Michigan",0,7,"In the early morning hours of Memorial Day weekend, a group of people were at Southwestern Classical Academy in the parking lot. Shots rang out and seven were injured, with two men being apprehended and charged.[217]"
"August 27, 2015","Savannah, Georgia",1,0,22-year-old student Christopher Starks was fatally shot in a student union building at Savannah State University. Justin Stephens was charged with the murder.[218][219]
"September 3, 2015","Sacramento, California",1,2,"A man was arguing with at least one other person escalated into a physical fight on the parking lot of Sacramento City College. A man opened fire, killing a 25-year-old student and wounding two others. The shooting suspects: Tevita Kaihea and Charlie Hola (both 19 years old) were not arrested for the shooting until December of that year and in 2018 Kaihea was sentenced to 112 years to life in prison and Hola was sentenced to 49 years to life.[220][221][222][223]"
"September 30, 2015","Harrisburg, South Dakota",0,1,"A principal was shot in the arm and wounded at Harrisburg High School after an argument with a student. The suspect, 16-year-old Mason Buhl at the school, was taken into custody and was charged with first-degree attempted murder and sentenced to 25 years with 15 years suspended on supervised probation.[224][225]"
"October 1, 2015","Roseburg, Oregon",10[n 1],9,"Umpqua Community College shooting: At around 10:40 a.m. PDT, a gunman, later identified as 26-year-old student Christopher Harper-Mercer, opened fire in a hall on the Umpqua Community College campus, killing eight students and one teacher, and injuring nine others. The gunman later committed suicide after engaging responding police officers in a brief gunfight.[226]"
"October 9, 2015","Flagstaff, Arizona",1,3,"Northern Arizona University shooting: One student died and three others were wounded in a shooting at Northern Arizona University. It is unclear what sparked the shooting, which took place near Mountain View Hall, a dormitory that houses most of the campus' students involved in Greek organizations. An 18-year-old student was arrested and charged with murder and aggravated assault.[227]"
"October 9, 2015","Houston, Texas",1,1,One person died and another person was injured after someone opened fire outside a Texas Southern University dorm.[228]
"October 22, 2015","Nashville, Tennessee",1,3,One person was killed and three others were wounded in a shooting at an outdoor courtyard at Tennessee State University. The shooting may have stemmed from an argument over a dice game. A suspect has not been identified or arrested.[229]
"November 1, 2015","Winston-Salem, North Carolina",1,1,"One person died and another person was injured, after someone opened fire on the campus of Winston-Salem State University. A 21-year-old non-student suspect is sought.[230]"
"November 20, 2015","North Las Vegas, Nevada",1,0,A 16-year-old student was fatally shot during a fight after school hours that involved multiple people on the campus of Mojave High School.[231]
"January 22, 2016","Indianapolis, Indiana",0,1,A 15-year-old male was shot in the leg and injured during a night-time basketball game at Lawrence Central High School.[232]
"January 29, 2016","Philadelphia, Pennsylvania",0,0,"A gunshot was fired during a fight in a stairwell at Franklin High School, and no injuries were reported. Three people were detained.[233]"
"February 9, 2016","Muskegon Heights, Michigan",0,4,"Four people, including two students, were injured during a basketball game event in the parking lot of Muskegon Heights High School.[234]"
"February 12, 2016","Glendale, Arizona",2[n 1],0,Two 15-year-old girls died in an apparent murder-suicide at Independence High School.[235]
"February 29, 2016","Middletown, Ohio",0,4,"15-year-old Cameron Smith, and 14-year-old Cooper Caffrey, were shot when 14-year-old James Austin Hancock, opened fire in the Madison High School cafeteria with a .380 caliber handgun. 15-year-old Brant Murray, and 14-year-old Katherine Douchette, also suffered shrapnel injuries.[236] Hancock was apprehended in a nearby wooded field.[237]"
"April 23, 2016","Antigo, Wisconsin",1[n 1],2,"Two students at a prom at Antigo High School were shot and injured by 18-year-old former student Jakob Wagner. Wagner later exchanged fire with a school resource officer in the school's parking lot, and was captured after being shot and wounded by police. He died hours later in a hospital."
"June 1, 2016","Los Angeles, California",3[n 1],0,"2016 UCLA shooting. Mainak Sarkar, age 38, a Ph.D. student, killed his former professor, William S. Klug, age 39, a professor of mechanical and aerospace engineering, in an engineering building at UCLA. Sarkar then killed himself. Sarkar, who lived in Minnesota, also killed his ex-wife, Ashley Hasti, age 31, in her Brooklyn Park, Minnesota home.[238][239]"
"June 8, 2016","Dorchester, Massachusetts",1,3,One student was killed and three other individuals were injured when gunfire erupted outside of the Jeremiah Burke High School following a fire-alarm causing an evacuation of the school. Two suspects have been arrested.[240]
"September 9, 2016","Alpine, Texas",1[n 1],2,A 14-year-old female student shot a 16-year-old girl in an Alpine High School restroom before committing suicide. A police officer accidentally shot another officer during the incident.[241]
"September 28, 2016","Townville, South Carolina",2,2,"Townville Elementary School shooting: Two students and one teacher were wounded after a teen opened fire at Townville Elementary School. The suspect's father was found dead at his home soon after the shooting. One of the victims, six-year-old Jacob Hall, died 3 days after the shooting.[242][243]"
"October 11, 2016","Mobile, Alabama",0,1,"A student was shot in the abdomen and wounded at Vigor High School. The suspect, a 16-year-old boy, turned himself in and was charged with assault.[244]"
"October 13, 2016","Columbus, Ohio",0,2,Two students were shot and wounded on the front lawn of Linden McKinley STEM Academy. One was shot in the shoulder and the other shot in the chest; both were hospitalized in stable condition.[245]
"October 18, 2016","San Francisco, California",0,4,"Four students were shot outside June Jordan High School for Equity, a San Francisco public high school. One female victim was in critical condition, while three male victims suffered minor injuries.[246] Two people were arrested in the shooting.[247]"
"October 25, 2016","Sandy, Utah",0,1,Police say the two teens ages 14 and 16 were involved in a confrontation on the far north end of Union Middle School. The boys got into an argument. The argument lead to a shooting. The 14-year-old shot the 16-year-old twice. He was sent to the hospital in critical but stable condition.[248]
"December 1, 2016","Bountiful, Utah",0,0,"At Mueller Park Junior High School, a 15-year-old student fired one shot into the ceiling and then pointed the weapon at his own neck. The student was confronted verbally by a teacher and another student and later arrested in possession of a shotgun, a handgun, and ammunition for each and was sentenced to spend time in a Juvenile Justice Services facility.[249][250]"
"January 20, 2017","West Liberty, Ohio",0,1,"A 17-year-old student was charged with attempted murder and other crimes after bringing a gun to West Liberty-Salem High School and firing two shots at a 17-year-old student in a bathroom with a shotgun. The victim was injured. The student ""also is accused of discharging the weapon in the school's hallway before returning to the bathroom, where he was eventually taken into custody.""[251]"
"January 20, 2017","Seattle, Washington",0,1,A 34-year-old man was shot in Red Square at University of Washington while protesting the visit of controversial journalist Milo Yiannopoulos. The shooter turned himself in to the university police and was later questioned and released without being charged with a crime.[252]
"January 27, 2017","Naperville, Illinois",1,0,"A 37-year-old Oswego man,  Matthew Lange, was shot at Scullen Middle School, which is a part of Indian Prairie School District 204, at about 7:30 PM. At the time of the shooting, there were two non-district organizations renting the building out. The victim was killed in his car while waiting to pick his son up from a weekly Polish culture class. The shooter’s identity is still unknown.[253][254]"
"March 21, 2017","King City, California",0,1,"An 18-year-old King City High School student was shot outside the school's auditorium. The gunman ran across the school's campus and baseball field, and fled the area. The school was then placed on lockdown. The victim was hospitalized with life-threatening injuries.[255] A suspect was arrested in August 2017.[256]"
"April 10, 2017","San Bernardino, California",3[n 1],1,"North Park Elementary School shooting: Cedric Anderson, age 53, of Riverside, California, died of a self-inflicted gunshot wound after shooting and killing his estranged wife, Karen Elaine Smith, age 53, in a classroom. An eight-year-old student was also fatally shot, and a seven-year-old student was injured.[257]"
"May 4, 2017","Irving, Texas",2[n 1],0,"North Lake College: Adrian Victor Torres killed a 20-year-old student, Janeera Nickol Gonzalez, whom he was stalking. He fatally shot her three times and the college went into lockdown before discovering that the suspect had died from a self-inflicted gunshot wound.[258]"
"June 14, 2017","Chicago, Illinois",0[n 1],2,"Two girls, 7 and 13, were shot and wounded on a playground of Warren Elementary during an end-of-the-year picnic. Police speculated they may have been bystanders.  Three arrests were made.[259]"
"September 13, 2017","Rockford, Washington",1,3,"Freeman High School: Three students were injured and one killed after a shooter opened fire. The suspect was armed with an AR-15 and a Pistol. He shot one student with the AR-15, but the gun jammed so he switched to his pistol. He killed one student after shooting him twice in the stomach and once in the head. He was stopped by a janitor. The suspect, a 15-year-old student, (Caleb Sharpe) was taken into police custody.[260]"
"September 20, 2017","Mattoon, Illinois",0,1,"Mattoon High School: A 14-year-old male student was subdued by a female teacher when he attempted to open fire in the school cafeteria at 11:33 a.m. Multiple shots were fired in the process, and one student was struck in the chest and was driven to a nearby hospital suffering non-life-threatening wounds. The student was taken into custody without further incident.[261][262]"
"October 25, 2017","Grambling, Louisiana",2,0,Two men were shot and killed on the Grambling State University campus.[263]
"November 13, 2017","Albany, Georgia",0,2,Two people were shot on the Albany State University campus.[264]
